SMILES,BRD4
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.040267207
Oc1nc(c2ccccc2C2CC2)no1,0.26999146
Clc1cc(c2ccccc2C2CC2)no1,0.29469746
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.32182276
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.32182276
OCc1cc(c2ccccc2C2CC2)no1,0.16075753
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.1229064
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.17666712
O[C@H](c1ccccc1C1CC1)C1CNC1,0.17666712
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.19618165
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.19618165
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.13550876
NC1CN(Cc2ccccc2C2CC2)C1,0.108826675
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.12005104
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.09014079
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.35311615
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.35311615
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.18875703
N[C@H](c1ccccc1C1CCC1)C1CC1,0.18875703
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.17571549
O[C@H](c1ccccc1C1CCC1)C1CC1,0.17571549
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.23663972
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.12900828
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.37141016
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.37141016
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.12029831
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.28055042
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.10329416
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.2199654
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.28328678
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.28328678
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.28328678
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.30884835
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.28328678
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.36656493
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.36656493
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.36656493
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.36656493
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.21450396
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.28520572
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.28520572
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.28520572
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.28520572
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.2844757
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.2844757
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.2844757
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.2844757
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.2833684
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.2833684
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.12617753
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.12617753
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.12617753
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.12617753
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.106109865
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.11889362
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.11889362
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.23898971
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.23898971
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.16869909
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.25115693
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.25115693
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.25115693
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.25115693
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.3737728
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.3737728
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.11988538
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.11988538
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.14492688
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.14492688
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.13078995
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.13078995
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.13179521
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.13179521
