SMILES,GRM5
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.42677996
Oc1nc(c2ccccc2C2CC2)no1,0.43736732
Clc1cc(c2ccccc2C2CC2)no1,0.54369247
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.25842792
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.25842792
OCc1cc(c2ccccc2C2CC2)no1,0.33590314
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.28298005
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.016667541
O[C@H](c1ccccc1C1CC1)C1CNC1,0.016667541
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.14922701
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.14922701
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.16493846
NC1CN(Cc2ccccc2C2CC2)C1,0.054328814
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.072947174
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.17533338
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.24136098
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.24136098
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.5471496
N[C@H](c1ccccc1C1CCC1)C1CC1,0.5471496
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.291641
O[C@H](c1ccccc1C1CCC1)C1CC1,0.291641
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.099373214
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.057387184
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.13093625
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.13093625
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.16505964
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1790659
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.35554865
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.06653135
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.2815689
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.2815689
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.2815689
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.27125132
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.2815689
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.16150673
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.16150673
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.16150673
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.16150673
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.034303393
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.21252625
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.21252625
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.21252625
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.21252625
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.16585046
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.16585046
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.16585046
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.16585046
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.14760834
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.14760834
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.03644817
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.03644817
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.03644817
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.03644817
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.21936874
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.051278107
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.051278107
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.45821643
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.45821643
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.032476522
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.26994735
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.26994735
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.26994735
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.26994735
