SMILES,HCK
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.17907123
Oc1nc(c2ccccc2C2CC2)no1,0.09874412
Clc1cc(c2ccccc2C2CC2)no1,0.07309216
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.1870199
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.1870199
OCc1cc(c2ccccc2C2CC2)no1,0.048539873
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.07679059
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.14770047
O[C@H](c1ccccc1C1CC1)C1CNC1,0.14770047
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.15297553
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.15297553
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.053964686
NC1CN(Cc2ccccc2C2CC2)C1,0.1602421
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.13127887
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.12452621
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.072064966
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.072064966
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.23240705
N[C@H](c1ccccc1C1CCC1)C1CC1,0.23240705
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.18931347
O[C@H](c1ccccc1C1CCC1)C1CC1,0.18931347
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.1764385
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.15885586
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.11494761
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.11494761
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.17794165
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.09779847
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.15616474
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.09289739
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.13146868
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.13146868
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.13146868
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.14066277
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.13146868
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.13503498
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.13503498
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.13503498
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.13503498
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.19345297
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.08395945
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.08395945
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.08395945
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.08395945
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.17430146
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.17430146
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.17430146
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.17430146
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.045445822
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.045445822
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.12367648
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.12367648
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.12367648
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.12367648
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.08795793
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.21596418
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.21596418
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.16549188
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.16549188
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.29853106
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.093345225
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.093345225
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.093345225
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.093345225
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.12357904
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.12357904
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.0859718
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.0859718
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.22027555
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.22027555
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.16251999
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.16251999
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.1749641
