SMILES,GSK3B
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.28999382
Oc1nc(c2ccccc2C2CC2)no1,0.122152895
Clc1cc(c2ccccc2C2CC2)no1,0.23705034
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.25943372
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.25943372
OCc1cc(c2ccccc2C2CC2)no1,0.19326562
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.26625
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.058535714
O[C@H](c1ccccc1C1CC1)C1CNC1,0.058535714
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.17358235
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.17358235
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.09103689
NC1CN(Cc2ccccc2C2CC2)C1,0.030926462
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.075345024
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.04520519
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.14108469
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.14108469
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.19435643
N[C@H](c1ccccc1C1CCC1)C1CC1,0.19435643
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.082653835
O[C@H](c1ccccc1C1CCC1)C1CC1,0.082653835
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.07576827
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.0440452
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.3458968
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.3458968
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.23507288
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.057198912
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.046746604
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.072098576
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.0770845
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.0770845
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.0770845
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07775374
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.0770845
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.057649463
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.057649463
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.057649463
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.057649463
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.03322445
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.35834813
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.35834813
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.35834813
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.35834813
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.4356035
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.4356035
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.4356035
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.4356035
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.07702057
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.07702057
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.2566092
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.2566092
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.2566092
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.2566092
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.0870521
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.11197759
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.11197759
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.20344025
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.20344025
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.040201258
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19434124
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19434124
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.19434124
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.19434124
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.042209562
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.042209562
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.33494017
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.33494017
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.38214767
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.38214767
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.13079996
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.13079996
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.19979413
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.19979413
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.19979413
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.13079996
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.13079996
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.19979413
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.08881942
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.20468247
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.06499624
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.06499624
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.11702032
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.11702032
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.045411143
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.045411143
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.045411143
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.045411143
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.03841975
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.03841975
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.052073684
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.052073684
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.052073684
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.052073684
