SMILES,CDK1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.22555597
Oc1nc(c2ccccc2C2CC2)no1,0.41836855
Clc1cc(c2ccccc2C2CC2)no1,0.47525653
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.47540608
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.47540608
OCc1cc(c2ccccc2C2CC2)no1,0.70400935
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.85653025
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.40249616
O[C@H](c1ccccc1C1CC1)C1CNC1,0.40249616
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.45914534
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.45914534
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.4065033
NC1CN(Cc2ccccc2C2CC2)C1,0.30212447
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.69660616
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.79107
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.35865107
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.35865107
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.52203673
N[C@H](c1ccccc1C1CCC1)C1CC1,0.52203673
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.41047814
O[C@H](c1ccccc1C1CCC1)C1CC1,0.41047814
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.7807078
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.6636735
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.5750867
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.5750867
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.72472066
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.67778933
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.7131378
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.61538726
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.3223224
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.3223224
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.3223224
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.75825137
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.3223224
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.30588517
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.30588517
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.30588517
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.30588517
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.81894886
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.59844655
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.59844655
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.59844655
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.59844655
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.5769745
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.5769745
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.5769745
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.5769745
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.20959514
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.20959514
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.49930918
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.49930918
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.49930918
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.49930918
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.472261
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.36690608
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.36690608
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.38679352
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.38679352
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.5934996
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.44189703
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.44189703
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.44189703
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.44189703
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.20857546
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.20857546
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.25868738
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.25868738
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.36613345
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.36613345
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.4446328
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.4446328
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.22949652
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.22949652
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.22949652
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.4446328
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.4446328
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.22949652
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.57326436
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.5839213
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.3665409
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.3665409
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.291261
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.291261
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.37492383
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.37492383
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.37492383
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.37492383
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.30214676
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.30214676
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.23758471
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.23758471
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.23758471
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.23758471
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.7079465
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.52442586
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.54533565
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.6599949
