SMILES,IGF1R
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.21851547
Oc1nc(c2ccccc2C2CC2)no1,0.22759561
Clc1cc(c2ccccc2C2CC2)no1,0.19574137
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.35071644
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.35071644
OCc1cc(c2ccccc2C2CC2)no1,0.18768036
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.24441786
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.24621098
O[C@H](c1ccccc1C1CC1)C1CNC1,0.24621098
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.28758544
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.28758544
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.27475846
NC1CN(Cc2ccccc2C2CC2)C1,0.19604103
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.20284754
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.24829075
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.064997606
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.064997606
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.22931078
N[C@H](c1ccccc1C1CCC1)C1CC1,0.22931078
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.34398383
O[C@H](c1ccccc1C1CCC1)C1CC1,0.34398383
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.11200136
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.12151232
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.17877293
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.17877293
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.20264827
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.10017781
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.13279863
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.277043
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.23916195
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.23916195
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.23916195
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07377042
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.23916195
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.2890094
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.2890094
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.2890094
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.2890094
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.15783122
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.21118401
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.21118401
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.21118401
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.21118401
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.37196115
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.37196115
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.37196115
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.37196115
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.054492664
