SMILES,NPY1R
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.0042982036
Oc1nc(c2ccccc2C2CC2)no1,0.059554446
Clc1cc(c2ccccc2C2CC2)no1,0.08218651
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.15243536
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.15243536
OCc1cc(c2ccccc2C2CC2)no1,0.07832984
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.07341326
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.46565983
O[C@H](c1ccccc1C1CC1)C1CNC1,0.46565983
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.5443344
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.5443344
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.036587633
NC1CN(Cc2ccccc2C2CC2)C1,0.34885547
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.20392182
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.22340101
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.09297751
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.09297751
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.2889842
N[C@H](c1ccccc1C1CCC1)C1CC1,0.2889842
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.2812207
O[C@H](c1ccccc1C1CCC1)C1CC1,0.2812207
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.18630095
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.15551902
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.27874902
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.27874902
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.17106456
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.15456367
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.15775202
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.0727058
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.42075866
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.42075866
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.42075866
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.13259628
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.42075866
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.46344426
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.46344426
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.46344426
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.46344426
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.1975088
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.25247028
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.25247028
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.25247028
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.25247028
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.4415917
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.4415917
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.4415917
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.4415917
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.09880264
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.09880264
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.27195698
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.27195698
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.27195698
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.27195698
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.20394246
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.19469468
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.19469468
