SMILES,BTK
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.38597873
Oc1nc(c2ccccc2C2CC2)no1,0.264795
Clc1cc(c2ccccc2C2CC2)no1,0.2680142
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.2600482
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.2600482
OCc1cc(c2ccccc2C2CC2)no1,0.2864945
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.27529585
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.22604144
O[C@H](c1ccccc1C1CC1)C1CNC1,0.22604144
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.29185975
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.29185975
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.23347677
NC1CN(Cc2ccccc2C2CC2)C1,0.21831156
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.24750276
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.1517699
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.17408101
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.17408101
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.18429476
N[C@H](c1ccccc1C1CCC1)C1CC1,0.18429476
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.24041739
O[C@H](c1ccccc1C1CCC1)C1CC1,0.24041739
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.2910815
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.21158895
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.35125548
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.35125548
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.3170483
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.2171024
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.2530769
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.25628698
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.3830372
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.3830372
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.3830372
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1852359
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.3830372
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.26452124
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.26452124
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.26452124
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.26452124
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.20911407
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.24824975
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.24824975
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.24824975
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.24824975
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.30782136
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.30782136
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.30782136
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.30782136
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.16272472
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.16272472
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23166505
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23166505
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23166505
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23166505
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.17381826
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.2603109
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.2603109
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.31173268
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.31173268
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.26384702
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.23624079
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.23624079
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.23624079
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.23624079
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.19116934
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.19116934
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.1473134
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.1473134
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.42901027
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.42901027
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.22631553
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.22631553
