SMILES,FFAR1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.040240023
Oc1nc(c2ccccc2C2CC2)no1,0.17877853
Clc1cc(c2ccccc2C2CC2)no1,0.23326354
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.42600477
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.42600477
OCc1cc(c2ccccc2C2CC2)no1,0.27270758
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.20289586
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.20890813
O[C@H](c1ccccc1C1CC1)C1CNC1,0.20890813
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.25362048
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.25362048
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.19088013
NC1CN(Cc2ccccc2C2CC2)C1,0.20043992
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.20594317
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.23489422
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.21341115
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.21341115
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.22351946
N[C@H](c1ccccc1C1CCC1)C1CC1,0.22351946
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.33179376
O[C@H](c1ccccc1C1CCC1)C1CC1,0.33179376
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.16275299
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.17219843
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.26258686
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.26258686
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.12274464
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.115322486
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.12222281
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.073246725
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.18987425
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.18987425
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.18987425
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.09996252
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.18987425
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.17471524
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.17471524
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.17471524
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.17471524
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.23368677
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.28533646
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.28533646
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.28533646
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.28533646
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.29899028
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.29899028
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.29899028
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.29899028
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.1965355
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.1965355
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.19835463
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.19835463
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.19835463
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.19835463
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.1809542
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.14300007
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.14300007
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.25074443
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.25074443
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.15726772
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17686506
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17686506
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.17686506
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.17686506
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.16978393
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.16978393
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.20492996
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.20492996
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.29510295
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.29510295
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.23034339
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.23034339
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.12987205
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.12987205
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.12987205
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.23034339
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.23034339
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.12987205
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.14001481
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.18607476
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.17147234
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.17147234
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.16408752
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.16408752
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.19769607
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.19769607
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.19769607
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.19769607
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.38783348
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.38783348
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.12733206
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.12733206
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.12733206
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.12733206
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.1420731
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.08789832
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.31115177
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.16548227
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.19604778
