SMILES,DRD3
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.12442003
Oc1nc(c2ccccc2C2CC2)no1,0.3306184
Clc1cc(c2ccccc2C2CC2)no1,0.67593694
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.8813446
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.8813446
OCc1cc(c2ccccc2C2CC2)no1,0.32161885
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.5956474
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.7938764
O[C@H](c1ccccc1C1CC1)C1CNC1,0.7938764
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.9392647
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.9392647
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.37298706
NC1CN(Cc2ccccc2C2CC2)C1,0.9792727
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.78085685
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.79441786
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.047014087
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.047014087
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.733566
N[C@H](c1ccccc1C1CCC1)C1CC1,0.733566
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.8899569
O[C@H](c1ccccc1C1CCC1)C1CC1,0.8899569
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.19987899
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.6684472
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.5917796
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.5917796
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.71888703
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.38006565
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.60711896
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.10920032
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.843744
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.843744
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.843744
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.10744655
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.843744
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.7193373
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.7193373
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.7193373
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.7193373
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.3246505
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.5977792
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5977792
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5977792
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.5977792
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.9128876
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.9128876
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.9128876
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.9128876
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.10612475
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.10612475
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.6448689
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.6448689
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.6448689
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.6448689
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.84411347
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.38974372
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.38974372
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.9216931
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.9216931
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.6295571
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33763498
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33763498
