SMILES,EPHB4
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.22668645
Oc1nc(c2ccccc2C2CC2)no1,0.06515096
Clc1cc(c2ccccc2C2CC2)no1,0.100940265
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.15664457
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.15664457
OCc1cc(c2ccccc2C2CC2)no1,0.056993656
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.08163912
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.057402913
O[C@H](c1ccccc1C1CC1)C1CNC1,0.057402913
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.0995604
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.0995604
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.05364142
NC1CN(Cc2ccccc2C2CC2)C1,0.050922047
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.14627911
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.11127056
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.049855866
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.049855866
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.14390092
N[C@H](c1ccccc1C1CCC1)C1CC1,0.14390092
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.08116496
O[C@H](c1ccccc1C1CCC1)C1CC1,0.08116496
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.17462608
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.13285023
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.12678295
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.12678295
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.14504993
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.13764855
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.14058676
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.10845701
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.09072035
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.09072035
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.09072035
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.18395355
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.09072035
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.07176762
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.07176762
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.07176762
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.07176762
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.14861956
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.06807124
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06807124
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06807124
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.06807124
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.09167224
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.09167224
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.09167224
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.09167224
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.05028618
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.05028618
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.03111176
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.03111176
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.03111176
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.03111176
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.051302288
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.16719353
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.16719353
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.08403735
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.08403735
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.40436494
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.03528432
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.03528432
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.03528432
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.03528432
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.05272918
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.05272918
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.034889292
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.034889292
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.08538359
