SMILES,CNR2
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.10755614
Oc1nc(c2ccccc2C2CC2)no1,0.6303825
Clc1cc(c2ccccc2C2CC2)no1,0.42891535
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.27452353
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.27452353
OCc1cc(c2ccccc2C2CC2)no1,0.058568873
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.2888987
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.059694007
O[C@H](c1ccccc1C1CC1)C1CNC1,0.059694007
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.052837282
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.052837282
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.2374496
NC1CN(Cc2ccccc2C2CC2)C1,0.097993225
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.38313338
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.49689287
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.043509644
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.043509644
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.015247712
N[C@H](c1ccccc1C1CCC1)C1CC1,0.015247712
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.08936543
O[C@H](c1ccccc1C1CCC1)C1CC1,0.08936543
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.17396109
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.6338798
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.015652882
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.015652882
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.20158322
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.4469375
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.42751598
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.17287575
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.3727998
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.3727998
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.3727998
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07669082
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.3727998
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.08228057
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.08228057
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.08228057
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.08228057
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.31538963
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.16400135
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16400135
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16400135
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.16400135
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.2271252
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.2271252
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.2271252
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.2271252
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.13359185
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.13359185
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.4059535
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.4059535
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.4059535
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.4059535
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.3213405
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.007384739
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.007384739
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.0076233563
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.0076233563
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.26007375
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17048538
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17048538
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.17048538
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.17048538
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.2731523
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.2731523
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.07938382
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.07938382
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.19586763
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.19586763
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.013490951
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.013490951
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.04550991
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.04550991
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.04550991
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.013490951
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.013490951
